name,category,dish_role,cooking_method,spice_level,suitable_meals,origin,serving_size_g,calories_kcal,protein_g,carbs_g,fat_g,fiber_g,sugar_g,sodium_mg,cholesterol_mg,purine_mg,calcium_mg,iron_mg,zinc_mg,vitamin_a_mcg,vitamin_c_mg,tags,data_source,source_url,note
Bánh đa cá rô,mon_nuoc,main,khac,0,breakfast|lunch|dinner,Hải Dương,352,382.2,23.8,59.3,5.6,1.2,1.0,995.9,42.5,,114.3,2.2,1.4,,32.2,contains_seafood|light,Bảng thành phần thực phẩm Việt Nam 2007 (cộng dồn từ nguyên liệu),https://www.fao.org/fileadmin/templates/food_composition/documents/pdf/VTN_FCT_2007.pdf,"Công thức: bánh đa 180g + cá rô đồng 85g + rau cải 60g + hành lá 15g + nước mắm 12g. Vay USDA: cholesterol_mg, sodium_mg, zinc_mg. Bánh đa tính theo bánh phở vì cùng sợi bột gạo"
Cháo lươn Nghệ An,mon_nuoc,main,khac,2,breakfast|dinner,Nghệ An,150,306.2,19.0,35.3,9.9,0.3,,817.6,100.8,,50.6,1.6,2.1,,1.6,contains_seafood|salty,Bảng thành phần thực phẩm Việt Nam 2007 (cộng dồn từ nguyên liệu),https://www.fao.org/fileadmin/templates/food_composition/documents/pdf/VTN_FCT_2007.pdf,Công thức: gạo tẻ 45g + lươn 80g + hành lá 15g + nước mắm 10g. Gạo tính theo khối lượng khô; ớt bột và nghệ tạo màu chưa tính
Cháo hến,mon_nuoc,main,khac,0,breakfast|dinner,Huế,160,202.7,8.3,39.8,1.1,0.3,,1317.7,27.0,,152.2,2.3,1.2,,1.6,contains_seafood|light,Bảng thành phần thực phẩm Việt Nam 2007 (cộng dồn từ nguyên liệu),https://www.fao.org/fileadmin/templates/food_composition/documents/pdf/VTN_FCT_2007.pdf,"Công thức: gạo tẻ 45g + hến 90g + hành lá 15g + nước mắm 10g. Vay USDA: cholesterol_mg, sodium_mg, zinc_mg. Hến tính theo mục trai (8037) vì bảng gốc không tách hai loài"
Súp lươn,mon_nuoc,snack,khac,2,snack|dinner,Nghệ An,180,309.2,20.5,34.5,9.9,0.5,1.3,1176.4,100.8,,60.5,2.3,2.4,,3.1,contains_gluten|contains_seafood|salty,Bảng thành phần thực phẩm Việt Nam 2007 (cộng dồn từ nguyên liệu),https://www.fao.org/fileadmin/templates/food_composition/documents/pdf/VTN_FCT_2007.pdf,"Công thức: lươn 80g + bánh mì ăn kèm 60g + hành tây 30g + nước mắm 10g. Vay USDA: sodium_mg, zinc_mg. Bánh mì tính theo mục bánh mì Pháp (1012); ăn kèm chứ không nấu chung"
Hủ tiếu sa tế,mon_nuoc,main,khac,3,breakfast|lunch|dinner,Miền Nam,317,493.4,25.4,62.3,15.8,0.7,1.3,990.0,56.8,15.0,63.6,3.4,5.2,,3.9,contains_peanut|salty|fatty,Bảng thành phần thực phẩm Việt Nam 2007 (cộng dồn từ nguyên liệu),https://www.fao.org/fileadmin/templates/food_composition/documents/pdf/VTN_FCT_2007.pdf,"Công thức: hủ tiếu 180g + thịt bò nạm 80g + đậu phộng rang 15g + hành tây 30g + nước mắm 12g. Vay USDA: cholesterol_mg, sodium_mg, vitamin_c_mg, zinc_mg. Sa tế gồm đậu phộng, ớt, sả — phần đậu phộng đã tính, dầu sa tế chưa tính. CÓ ĐẬU PHỘNG nên phải gắn nhãn dị nguyên"
Bún bung,mon_nuoc,main,khac,0,breakfast|lunch|dinner,Thái Bình,402,392.3,19.8,54.4,10.5,4.2,3.2,1020.0,52.0,,55.0,2.2,4.5,,16.8,salty,Bảng thành phần thực phẩm Việt Nam 2007 (cộng dồn từ nguyên liệu),https://www.fao.org/fileadmin/templates/food_composition/documents/pdf/VTN_FCT_2007.pdf,"Công thức: bún tươi 200g + sườn heo 80g + măng tươi 70g + cà chua 40g + nước mắm 12g. Vay USDA: sodium_mg, zinc_mg. Dọc mùng là nguyên liệu đặc trưng nhưng bảng gốc không có; đã bỏ khỏi công thức"
Bánh canh chả cá,mon_nuoc,main,khac,1,breakfast|lunch|dinner,Nha Trang,307,426.9,21.8,64.5,9.1,0.1,0.0,1022.9,56.0,116.0,82.0,1.9,1.1,,1.6,contains_seafood|salty,Bảng thành phần thực phẩm Việt Nam 2007 (cộng dồn từ nguyên liệu),https://www.fao.org/fileadmin/templates/food_composition/documents/pdf/VTN_FCT_2007.pdf,"Công thức: sợi bánh canh 200g + chả cá 80g + hành lá 15g + nước mắm 12g. Vay USDA: cholesterol_mg, zinc_mg. Chả cá tính theo cá thu tươi; bột và dầu chiên chả chưa tính"
Cháo thịt bằm,mon_nuoc,main,khac,0,breakfast|dinner,Toàn quốc,130,318.2,14.2,35.2,13.4,0.3,0.0,809.8,40.8,,28.0,1.7,1.9,,2.8,light,Bảng thành phần thực phẩm Việt Nam 2007 (cộng dồn từ nguyên liệu),https://www.fao.org/fileadmin/templates/food_composition/documents/pdf/VTN_FCT_2007.pdf,Công thức: gạo tẻ 45g + thịt lợn bằm 60g + hành lá 15g + nước mắm 10g. Gạo tính theo khối lượng khô
Súp hải sản,mon_nuoc,snack,khac,0,snack|dinner,Miền Nam,173,152.0,23.1,3.2,5.2,0.6,0.3,834.7,345.5,,440.0,3.6,1.8,,2.1,contains_egg|contains_seafood,Bảng thành phần thực phẩm Việt Nam 2007 (cộng dồn từ nguyên liệu),https://www.fao.org/fileadmin/templates/food_composition/documents/pdf/VTN_FCT_2007.pdf,"Công thức: tôm 40g + mực 40g + cua 30g + trứng gà 35g + nấm hương 20g + nước mắm 8g. Vay USDA: cholesterol_mg, iron_mg, sodium_mg, zinc_mg. Bột năng tạo sánh chưa tính, ước thiếu khoảng 30 kcal"
Bún nước lèo,mon_nuoc,main,khac,2,breakfast|lunch|dinner,Sóc Trăng,404,464.2,27.9,53.0,15.5,1.5,0.2,1272.9,133.6,,477.6,2.8,2.4,,12.4,contains_seafood|salty,Bảng thành phần thực phẩm Việt Nam 2007 (cộng dồn từ nguyên liệu),https://www.fao.org/fileadmin/templates/food_composition/documents/pdf/VTN_FCT_2007.pdf,"Công thức: bún tươi 200g + cá lóc 60g + tôm 40g + thịt quay 40g + rau muống 50g + mắm bò hóc và nước mắm 14g. Vay USDA: cholesterol_mg, iron_mg, sodium_mg, zinc_mg. Mắm bò hóc không có trong bảng gốc, tính gộp vào nước mắm; cá lóc tạm dùng mục cá thu"
Miến cua,mon_nuoc,main,khac,0,breakfast|lunch|dinner,Hà Nội,287,242.0,12.2,42.6,2.5,1.2,,1279.3,54.6,,116.8,2.1,3.3,,17.6,contains_seafood,Bảng thành phần thực phẩm Việt Nam 2007 (cộng dồn từ nguyên liệu),https://www.fao.org/fileadmin/templates/food_composition/documents/pdf/VTN_FCT_2007.pdf,"Công thức: miến dong đã ngâm 150g + cua đồng 70g + cà chua 40g + hành lá 15g + nước mắm 12g. Vay USDA: cholesterol_mg, sodium_mg, zinc_mg. Miến dong tính theo bún tươi"
Bún riêu tôm,mon_nuoc,main,khac,1,breakfast|lunch|dinner,Miền Nam,382,314.8,16.9,54.5,3.1,1.6,1.6,1057.7,112.7,,683.0,2.6,2.2,,24.1,contains_seafood|contains_soy|sour,Bảng thành phần thực phẩm Việt Nam 2007 (cộng dồn từ nguyên liệu),https://www.fao.org/fileadmin/templates/food_composition/documents/pdf/VTN_FCT_2007.pdf,"Công thức: bún tươi 200g + tôm 70g + cà chua 60g + đậu phụ 40g + nước mắm 12g. Vay USDA: cholesterol_mg, iron_mg, sodium_mg, zinc_mg. Biến thể riêu dùng tôm thay cua"
Cháo cá bống,mon_nuoc,main,khac,0,breakfast|dinner,Miền Trung,155,245.5,21.3,35.2,2.2,0.3,0.0,776.8,0.0,,99.1,0.8,0.8,,1.6,contains_seafood|light,Bảng thành phần thực phẩm Việt Nam 2007 (cộng dồn từ nguyên liệu),https://www.fao.org/fileadmin/templates/food_composition/documents/pdf/VTN_FCT_2007.pdf,Công thức: gạo tẻ 45g + cá bống 85g + hành lá 15g + nước mắm 10g. Gạo tính theo khối lượng khô
Mì gà tần,mon_nuoc,main,khac,0,breakfast|dinner,Hà Nội,225,541.4,31.2,75.3,12.8,1.1,0.0,858.2,67.5,,55.8,4.2,3.5,,3.7,contains_gluten|salty,Bảng thành phần thực phẩm Việt Nam 2007 (cộng dồn từ nguyên liệu),https://www.fao.org/fileadmin/templates/food_composition/documents/pdf/VTN_FCT_2007.pdf,"Công thức: mì trứng khô 100g + thịt gà 90g + nấm hương 25g + nước mắm 10g. Vay USDA: sodium_mg, zinc_mg. Thuốc bắc hầm cùng không có trong bảng gốc và đóng góp năng lượng không đáng kể"
Bún chân giò,mon_nuoc,main,khac,0,breakfast|lunch|dinner,Hà Nội,367,590.2,18.1,53.2,33.8,3.2,1.5,1006.8,66.6,,52.2,1.5,2.6,,2.1,salty|fatty,Bảng thành phần thực phẩm Việt Nam 2007 (cộng dồn từ nguyên liệu),https://www.fao.org/fileadmin/templates/food_composition/documents/pdf/VTN_FCT_2007.pdf,"Công thức: bún tươi 200g + chân giò 90g + măng 50g + hành lá 15g + nước mắm 12g. Vay USDA: sodium_mg, zinc_mg. Chân giò tính theo thịt lợn nạc và mỡ; phần da và gân chưa tách riêng"
Cháo nấm chay,mon_nuoc,main,khac,0,breakfast|dinner,Toàn quốc,155,200.3,8.5,39.7,0.8,2.5,2.0,587.1,0.0,,48.9,4.3,1.8,,3.2,contains_soy|light|vegan|vegetarian,Bảng thành phần thực phẩm Việt Nam 2007 (cộng dồn từ nguyên liệu),https://www.fao.org/fileadmin/templates/food_composition/documents/pdf/VTN_FCT_2007.pdf,"Công thức: gạo tẻ 45g + nấm hương 60g + cà rốt 40g + nước tương 10g. Vay USDA: sodium_mg, zinc_mg. Nêm nước tương nên thuần chay; gạo tính theo khối lượng khô"
